Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,002444.24-270826.5,00247-2653,LEI   1BC,,,,15.3,.,6214.74,d,0.42,0.4619,a,0.0007,62.59,0.12,14.5,0.12,48305.6,d,1.8,0.034,0.002,240.33,0.24,2000,2007,1,n,Lei2008,wds00247-2653b.png
,002444.31-510235.7,00247-5103,CD-51   95,.,2070,1955,6.82,.,115.3,d,.,4.68,m,0.25,108,7.5,299,8.3,35627.6,d,.,0.33,.,18.7,.,,1992,9,,Jnc2005,wds00247-5103u.png
,002616.87-421818.4,00262-4217,alp PheAa-P,.,2261,2081,2.37,.,3848.8,d,.,103.5,m,8.2,128,5.4,242.8,3.9,16201.8,d,.,0.34,.,19.8,.,,1992,9,n,Jnc2005,wds00262-4217u.png
,002707.79-075233.8,00271-0753,A   431,363,2333,2143,8.84,8.95,54.02,y,0.34,0.37,a,0.05,108.49,1.1,24.89,0.9,1949.98,y,0.18,0.655,0.015,292.23,1.3,2000,1976,3,n,Sca1981a,wds00271-0753a.png
,002817.00+634405.8,00283+6344,HU 1007,371,,2232,10.25,10.13,198.53,y,.,0.458,a,.,53.51,.,117.03,.,2060.86,y,.,0.473,.,103.26,.,,1962,5,n,dSl1968,wds00283+6344a.png
,002821.17-202005.2,00284-2020,B  1909,,2475,2237,7.23,7.4,11.33,y,.,0.211,a,.,72,.,119,.,1993,y,.,0.06,.,45,.,2000,,2,n,Sod1999,wds00284-2020a.png
,003045.56+473148.0,00308+4732,BU  394,416,2675,2414,8.49,8.77,142.14,y,.,0.689,a,.,78,.,102.1,.,1992.37,y,.,0.847,.,2,.,2000,1991,4,,Zul1997b,wds00308+4732a.png
,003105.23-100501.9,00310-1005,BU 1158BC,426,2761,2444,9.69,9.09,134.66,y,.,0.38,a,.,61.4,.,154.5,.,2007.39,y,.,0.55,.,213.5,.,,1984,4,n,Baz1991a,wds00310-1005a.png
,003133.36-625755.6,00315-6257,I   260CD,,2885,2487,4.6,6.54,44.66,y,.,0.404,a,.,146.9,.,63.3,.,2012.84,y,.,0.74,.,303.7,.,2000,1999,3,n,Msn2001c,wds00315-6257a.png
,003146.32+543120.4,00318+5431,STT  12,434,2772,2505,5.33,5.62,536.47,y,.,1.165,a,.,75.8,.,17.4,.,2012.09,y,.,0.816,.,260.5,.,2000,2004,4,n,Lin2005a,wds00318+5431b.png
,003208.27-051043.3,00321-0511,A   111AB,450,2880,2533,9.7,9.7,21.38,y,.,0.172,a,.,150,.,104.5,.,1947.17,y,.,0.02,.,18.7,.,2000,1994,2,n,Bdl2007a,wds00321-0511b.png
,003223.75+065719.6,00324+0657,MCA   1Aa,449,2913,2548,5.84,7.99,25.55,y,0.65,0.1559,a,0.0024,114,1.6,108,1.1,1989.118,y,0.059,0.803,0.011,17.4,2.1,2000,1996,3,n,Msn1997a,wds00324+0657a.png
,003229.43+671408.8,00321+6715,"MCY   1Aa,Ab",440,,2552,10.3 v,.,15.64,y,0.2,0.511,a,0.005,44.6,1.5,175.1,1,2000.76,y,0.2,0.174,0.003,106.8,5,2000,2005,2,n,Doc2008d,wds00321+6715o.png
,003229.43+671408.4,00321+6715,VYS   2Aa-B,440,,2552,10.62v,12.2,222.3,y,8.5,3.322,a,0.05,47.3,0.4,174.9,2,1859.4,y,3.9,0.293,0.035,146.3,2.9,2000,2005,5,n,Doc2008d,wds00321+6715p.png
