Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,130908.52+212722.0,13091+2127,HU  572,8799,114255,64175,8.73,10.08,134.4,y,.,0.4,a,.,138.5,.,88.2,.,1849.93,y,.,0.4,.,292,.,,1984,4,n,Baz1985d,wds13091+2127a.png
,144108.92+134342.0,14411+1344,STF1865AB,9343,129246,71795,4.46,4.55,122.98,y,0.51,0.892,a,0.22,125,9.4,5.9,8.1,1898.5,y,0.26,0.985,0.008,249.4,9.6,2000,2007,2,n,Alz2007,wds14411+1344c.png
,131139.24-263306.2,13117-2633,FIN 305,,114576,64375,7.2,7.43,19,y,.,0.1183,a,.,148.9,.,10.4,.,1962.25,y,.,0.93,.,92.5,.,,1966,3,n,Fin1968a,wds13117-2633a.png
,131217.63-595513.9,13123-5955,SEE 170AB,,114529,64425,5.3,6,27,y,.,0.1851,a,.,68.3,.,114.6,.,1941.1,y,.,0.32,.,168.5,.,,1963,4,n,Fin1964b,wds13123-5955a.png
,131427.58-241703.4,13145-2417,FIN 297AB,8831,114993,64603,7.51,7.48,61.47,y,.,0.165,a,.,37.5,.,162.5,.,1969.88,y,.,0.64,.,2.3,.,,1986,3,n,Baz1988d,wds13145-2417c.png
,131427.58-241703.4,13145-2417,FIN 297AB,8831,114993,64603,7.51,7.48,62.87,y,.,0.195,a,.,46.7,.,87.4,.,2031.46,y,.,0.84,.,79.9,.,2000,2000,3,n,Mnt2004c,wds13145-2417d.png
,131455.85-112207.3,13149-1122,RST3829Aa,,115080,64638,7.35,9.14,168,y,.,1.01,a,.,68.5,.,121.7,.,1982.5,y,.,0.5,.,261,.,2000,,5,,Hei1997,wds13149-1122a.png
,131650.67+170104.1,13169+1701,BU  800AB,8841,115404,64797,6.66,9.5,770,y,.,8.06,a,.,93.41,.,104.66  *,.,1875,y,.,0.12,.,276.99,.,2000,1991,4,n,Hle1994,wds13169+1701a.png
,131653.63-343554.2,13169-3436,I  1567,,115311,64804,8.55,9.55,41.51,y,.,0.295,a,.,120.6,.,143,.,1966.48,y,.,0.5,.,275.5,.,2000,1985,3,n,Hei1986a,wds13169-3436b.png
,131729.89-004033.7,13175-0041,FIN 350,,115488,64838,7.1,7.1,9.046,y,0.047,0.0797,a,0.0024,53.9,2.7,204.3,4.2,1980.86,y,0.17,0.648,0.019,340.7,8.9,2000,,2,n,Hrt1996a,wds13175-0041c.png
,131924.29-395701.2,13194-3957,RST1712,,,64999,10.86,11.42,425,y,.,0.92,a,.,136.6,.,49.1,.,1987,y,.,0.304,.,55.5,.,2000,1991,5,,Sey2002,wds13194-3957a.png
,173023.87-010345.0,17304-0104,STF2173,10598,158614,85667,6.06,6.17,46.4,y,.,0.98,a,.,99.1,.,152.1,.,1962.46,y,.,0.175,.,327.5,.,2000,,1,n,Hei1994a,wds17304-0104c.png
,132015.78+174557.7,13203+1746,A  2166,8863,115955,65069,7.78,8.38,11.15,y,0.16,0.1195,a,0.0062,71.4,1.1,204,1.4,1973.33,y,0.16,0.891,0.018,121,3.1,2000,,2,n,Hrt1996a,wds13203+1746a.png
,132051.13+435924.4,13209+4359,GC 18063,,116127,65135,6.52,.,544.8827,d,17.1978,8.76,m,1.23,133.37,14.29,31.81,19.7,48226.1836,d,36.2169,0.6403,0.1882,311.92,31.36,,1991,9,n,HIP1997d,wds13209+4359p.png
,132146.34-184431.5,13218-1845,GC 18075,,116114,65203,7.03,.,1014.3319,d,241.2519,4.94,m,2.6,48.34,13.98,173.08,22.9,48762.9609,d,82.3833,0,.,0,.,,1991,9,n,HIP1997d,wds13218-1845p.png
,132333.10+291412.8,13235+2914,HO  260,8887,116495,65343,9.6,9.94,1189,y,.,3.93,a,.,71,.,307,.,1889,y,.,0.83,.,327,.,2000,2002,4,n,WSI2004a,wds13235+2914a.png
,132343.19-004308.9,13237-0043,A  2489,8884,116444,65360,9.49,9.81,499,y,.,1.35,a,.,95,.,183,.,1905,y,.,0.8,.,142,.,2000,2002,5,n,WSI2004a,wds13237-0043c.png
,132355.42+545531.5,13239+5456,PEA   1Aa,8891,116656,65378,2.23,.,20.53835,d,0.00005,9.83,m,0.03,60.5,0.3,106,0.4,47636.07,d,0.02,0.5354,0.0025,104.3,0.3,2000,1997,2,n,MkT1998,wds13239+5456b.png
,132355.42+545531.5,13239+5456,zet UMa,8891,116656,65378,2.1,>12.,36.5,y,.,0.8,a,.,93,.,32,.,1994.8,y,.,0.6,.,287,.,,,9,n,Gon2003,wds13239+5456d.png
,132430.54+122554.3,13245+1226,GC 18139,.,116594,65417,6.44,.,1366.8,d,.,12,m,1.7,68.9,4.6,121.1,3.7,45497.5,d,.,0.19,.,166,.,,1992,9,n,Jnc2005,wds13245+1226u.png
,132433.14-050950.1,13246-0510,66 Vir,,116568,65420,5.77,.,905.5614,d,41.7639,25.18,m,7.49,68.49,6.99,69.3,7.12,47957.8125,d,24.8322,0.6632,0.2623,285.62,14.53,,1991,9,n,HIP1997d,wds13246-0510p.png
,132548.12+442938.3,13258+4430,A  1609AB,8901,116878,65518,8.79,9.49,44.24,y,.,0.321,a,.,26,.,40.4,.,1981.24,y,.,0.52,.,153,.,2000,1989,2,n,Hei1991,wds13258+4430a.png
,132907.98-644032.8,13291-6441,GC 18206,,117025,65783,6.09,.,860.7029,d,27.8332,10.31,m,1.1,148.76,13.09,47.88,18.87,48828.6914,d,39.8443,0.3163,0.0983,142.93,23.47,,1991,9,n,HIP1997d,wds13291-6441p.png
,133029.62+072910.1,13305+0729,A  1789,8926,117478,65897,9.14,9.39,138,y,.,0.173,a,.,180,.,131,.,1968,y,.,0.35,.,180,.,,,4,n,Hei1998,wds13305+0729c.png
,133102.67-392426.2,13310-3924,SEE 179,,117440,65936,4.64,5.03,78.7,y,.,0.1647,a,.,152.9,.,153.2,.,1955.9,y,.,0.46,.,250.7,.,,1963,3,n,Fin1964b,wds13310-3924a.png
,133157.83-651918.5,13320-6519,FIN 369,,117432,66005,7.36,7.54,40.44,y,0.91,0.192,a,0.026,57,3,30.4,4.7,1994.64,y,0.49,0.194,0.058,356.3,11.7,2000,1993,4,n,Ole2004b,wds13320-6519a.png
,133158.34+310804.4,13320+3108,WOR  24,,,66008,11.14,11.37,21.18,y,0.3,0.271,a,0.002,153.4,4,103.9,3,1986.02,y,0.01,0.634,0.003,257.5,2.5,2000,1997,3,n,Doc2000b,wds13320+3108e.png
,133232.77-691354.1,13325-6914,I   298,,117445,66057,7.36,8.54,590,y,.,1,a,.,115.2,.,178.8,.,2030,y,.,0.347,.,70.3,.,2000,1991,5,,Sey2002,wds13325-6914a.png
,133244.59+164839.0,13328+1649,VYS   6,,,66077,11.0 v,11.5,430,y,.,3.17,a,.,59.4,.,33.3,.,1973.5,y,.,0,.,0,.,2000,,5,n,Hei1990d,wds13328+1649a.png
,133251.02+345425.8,13329+3454,STT 269AB,8939,117902,66089,7.27,8.08,53.2,y,.,0.166,a,.,58,.,44.8,.,1988,y,.,0.868,.,0,.,2000,,2,n,Hei1997,wds13329+3454a.png
,133333.80+294416.4,13336+2944,A  1095,8943,117998,66149,8.98,9.32,187.53,y,.,0.331,a,.,37.8,.,109.1,.,2049.28,y,.,0.471,.,298.2,.,2000,1999,4,n,Ole2002a,wds13336+2944a.png
,133410.74-162320.2,13342-1623,RST3844,,117968,66203,9.5,9.5,255,y,.,0.37,a,.,119.5,.,65.8,.,1994.3,y,.,0.428,.,93.1,.,2000,1993,5,,Sey2002,wds13342-1623a.png
,133416.38-001849.8,13343-0019,STF1757AB,8949,118036,66212,7.82,8.75,461,y,.,2.76,a,.,59,.,91.7,.,1932.5,y,.,0,.,0,.,2000,1986,4,n,Hei1988d,wds13343-0019a.png
,133440.48-131251.5,13347-1313,BU  932AB,8954,118054,66247,6.3,7.29,190.416,y,.,0.532,a,.,70.5,.,114.1,.,1921.842,y,.,0.93,.,105.6,.,1900,1975,3,n,Sta1980a,wds13347-1313a.png
,133712.20-614129.7,13372-6142,I   365AB,,118261,66438,5.98,7.22,35,y,.,0.45,a,.,117,.,71,.,1967.5,y,.,0.78,.,94,.,2000,,2,n,Sod1999,wds13372-6142a.png
,133727.70+361741.4,13375+3618,STF1768AB,8974,118623,66458,4.98,6.95,228,y,.,1.02,a,.,147,.,87,.,1864,y,.,0.8,.,159,.,2000,,3,n,Sod1999,wds13375+3618a.png
,133743.02-233631.7,13377-2337,RST2856,,,,10.3,10.3,51.5,y,.,0.19,a,.,45,.,51,.,1962.5,y,.,0.57,.,253.5,.,2000,,4,n,Hei1997,wds13377-2337b.png
,133743.02-233631.7,13377-2337,RST2856,,,,10.3,10.3,111,y,.,0.234,a,.,36,.,83.8,.,1970,y,.,0.06,.,335,.,2000,,5,n,Hei1997,wds13377-2337a.png
,133751.43+480818.3,13379+4808,ES  608AB,8980,,66492,10.28,11.49,330,y,.,2.13,a,.,36.3,.,157.4,.,2047,y,.,0.611,.,280.7,.,2000,2000,5,n,Sey2002,wds13379+4808a.png
,133934.68+104446.7,13396+1045,BU  612AB,8987,118889,66640,6.35,6.47,22.46,y,0.019,0.19983,a,0.00055,43.5,0.4,34.58,0.52,1929.85,y,0.024,0.545,0.0022,359.93,0.79,2000,,1,n,Msn1999a,wds13396+1045b.png
,134606.81+050656.4,13461+0507,STF1781,9019,119931,67186,7.89,8.1,261.6,y,5.3,0.998,a,0.015,42.1,0.8,0.5,1.1,1975.93,y,0.12,0.638,0.005,68.9,1.3,2000,2006,3,n,Alz2007,wds13461+0507c.png
,134639.37-512557.7,13467-5126,M Cen,.,119834,67234,4.64,.,437,d,.,6.45,m,0.61,48.2,3.8,280.3,4.9,24163,d,.,0.13,.,58.6,.,,1992,9,n,Jnc2005,wds13467-5126u.png
,134715.74+172724.8,13473+1727,STT 270,9025,120136,67275,4.5,11.1,2000,y,.,14.39,a,.,50.68,.,28.4,.,2017,y,.,0.91,.,99.34,.,2000,1991,5,n,Hle1994,wds13473+1727a.png
,134904.28+265848.5,13491+2659,STF1785,9031,120476,67422,7.36v,8.15v,155.75,y,.,2.433,a,.,47.4,.,155.4,.,1916.75,y,.,0.446,.,200,.,2000,1987,2,n,Hei1988d,wds13491+2659a.png
,134942.82+211550.6,13497+2116,6 Boo,.,120539,67480,4.93,.,944,d,.,7.3,m,0.9,174,0.5,278.8,5.8,44739.5,d,.,0.41,.,359,.,,1992,9,,Jnc2005,wds13497+2116u.png
,134944.98+363758.0,13498+3638,GC 18691,,120600,67483,6.44,.,463.5429,d,9.0345,8.18,m,0.71,66.38,6.01,23.42,7.03,48542.8516,d,33.1814,0.3086,0.1676,217.23,25.82,,1991,9,n,HIP1997d,wds13498+3638p.png
,135201.00-313708.9,13520-3137,BU  343,,120759,67696,6.26,8.91,161.6,y,.,0.845,a,.,139,.,160.6,.,1998.52,y,.,0.629,.,241,.,2000,1997,4,,Sey2002,wds13520-3137a.png
,135332.82-353951.1,13535-3540,HWE  28AB,,120987,67819,6.27,6.38,292.11,y,.,1.329,a,.,71.8,.,111.5,.,1957.55,y,.,0.686,.,93.5,.,2000,1997,5,n,Lin1998a,wds13535-3540a.png
,135351.68-143950.8,13539-1440,RST3852,,121136,67850,7.85,8.92,64.9,y,.,0.275,a,.,116,.,147.5,.,1988.4,y,.,0.39,.,77,.,2000,1985,4,n,Hei1986b,wds13539-1440a.png
,135356.44-191005.1,13539-1910,HU  898,9043,121137,67859,8.7,9.23,316.9,y,.,0.657,a,.,74.04,.,150.12,.,1921.55,y,.,0.249,.,357.33,.,,1979,5,n,Doc1984c,wds13539-1910b.png
,135356.79+100819.9,13539+1008,BU  614AB,9047,121215,67860,8.05,9.98,196.72,y,.,0.586,a,.,107.7,.,114.1,.,2013.84,y,.,0.568,.,77.8,.,2000,1995,5,n,Zir2002a,wds13539+1008a.png
,135441.12+182354.9,13546+1825,eta Boo,.,121370,67927,2.68,.,494.2,d,.,36.02,m,0.56,115.7,1.6,75.2,1.4,28136.2,d,.,0.26,.,326.3,.,,1992,9,n,Jnc2005,wds13546+1825u.png
,135458.30-080331.6,13550-0804,STF1788AB,9053,121325,67953,6.68,7.26,2613,y,.,4.998,a,.,50.9,.,108.05,.,1823.8,y,.,0.35,.,293.5,.,1900,1959,5,n,Hop1970,wds13550-0804a.png
,135614.88+744246.3,13562+7443,BD+75  523,.,,68072,9.74,.,1620.3,d,.,10.8,m,2.7,20.9,4.1,6,10,47179.1,d,.,0.68,.,177.6,.,,1992,9,,Jnc2005,wds13562+7443u.png
,135706.69-273125.3,13571-2731,I   234,9064,121632,68148,8.61,9.67,458.3,y,.,0.649,a,.,180,.,0,.,2300.6,y,.,0,.,0,.,1900,1963,5,n,Mro1966b,wds13571-2731a.png
,135721.48-622919.6,13574-6229,FIN 370,,121454,68170,7.37,7.76,19.16,y,.,0.148,a,.,142.3,.,79.7,.,2006.46,y,.,0.251,.,171.7,.,2000,1993,3,,Mnt2004b,wds13574-6229a.png
,135740.08+515936.9,13577+5200,A  1614,9071,121995,68193,9.13,8.99,301,y,.,0.981,a,.,152,.,70.5,.,1913.2,y,.,0.77,.,138,.,2000,,4,n,Hei2001,wds13577+5200a.png
,135820.02+021314.5,13583+0213,A  2167,9073,121908,68250,9.27,9.64,92.55,y,.,0.217,a,.,124.5,.,45.5,.,1925.2,y,.,0.48,.,65,.,,1991,4,n,Baz1994,wds13583+0213d.png
,140200.60+571328.6,14020+5713,A  1097AB,9089,122740,68554,9.09,8.24,224.7,y,.,0.409,a,.,49.7,.,60.1,.,1920.69,y,.,0.105,.,45.7,.,2000,1997,4,n,Sca2000a,wds14020+5713a.png
,140232.09+462025.7,14024+4620,SWI   1,,,68588,10.05,10.26,455,y,.,2.54,a,.,66.3,.,22.5,.,2225,y,.,0.444,.,182.6,.,2000,1998,5,n,Sey2002,wds14024+4620a.png
,140332.30+104715.1,14035+1047,GJ 538,,122742,68682,6.27,.,3614.8999,d,.,105.28,m,2.02,93.5,.,252.3,.,33998.1992,d,.,0.547,.,189,.,,1991,9,n,HIP1997d,wds14035+1047p.png
,140343.26+082913.3,14037+0829,BU 1270,9094,122769,68697,8.15,8.78,38.74,y,.,0.195,a,.,26.6,.,116.6,.,1989.96,y,.,0.435,.,40.3,.,2000,2003,1,n,Bdl2006b,wds14037+0829k.png
,140349.40-602222.9,14038-6022,"RBT   1Aa,Ab",,122451,68702,1.29,1.44,357,d,0.07,0.02532,a,0.00023,67.4,0.3,288.3,0.4,51600,d,0.3,0.824,0.004,61.3,0.6,2000,2002,2,n,Dvs2005,wds14038-6022a.png
,140423.43+642232.9,14044+6423,alp Dra,,123299,68756,3.65,.,51.4167,d,.,1.46,m,0.68,131.78,25.4,241.14,18.91,45117.375,d,.,0.4,.,23.2,.,,1991,9,n,HIP1997d,wds14044+6423p.png
,140741.56-495204.3,14077-4952,SLR  19,,123227,69012,7.14,7.38,202.54,y,.,1.15,a,.,54.1,.,150,.,1852.62,y,.,0.579,.,306.4,.,,1998,5,n,Sca2001e,wds14077-4952a.png
,140842.74+334056.9,14087+3341,HU  742,9126,,69102,8.8,12.3,305.56,y,.,0.564,a,.,119.92,.,132.73,.,1950.43,y,.,0.066,.,0.55,.,,1969,5,n,Pop1972,wds14087+3341a.png
,140851.01+773250.8,14088+7733,BNU   9,.,124547,69112,4.81,.,605.8,d,.,5.74,m,0.55,130.2,3.8,158.5,5.3,38901.7,d,.,0.14,.,311.8,.,,1992,9,n,Jnc2005,wds14088+7733u.png
,140935.77-442200.9,14096-4422,CD-43 8827,,123585,69176,9.23,.,457.8,d,.,4.81,m,1.1,53.9,28.4,8.5,35.5,48207,d,.,0.062,.,203.5,28.2,,1993,9,,Pbx2000a,wds14096-4422p.png
,141023.95+250530.6,14104+2506,12 Boo,,123999,69226,4.82,.,230.509181,h,0.000182,3.451,m,0.018,107.99,0.077,9.709,0.079,51237.7729,d,0.0051,0.19233,0.00086,286.67,0.19,2000,2004,8,n,Bod2005a,wds14104+2506u.png
,141057.35+315225.1,14110+3152,GC 19140,,124138,69283,7.43,.,1173.1593,d,99.3373,10.19,m,0.96,119.88,13.61,32.24,15.51,48469.2031,d,43.1147,0,.,0,.,,1991,9,n,HIP1997d,wds14110+3152p.png
,141214.66+441122.5,14122+4411,STT 278,9159,124399,69388,8.43,8.76,243,y,.,0.36,a,.,141,.,136.6,.,1990,y,.,0.13,.,195,.,2000,,3,n,Hei1996c,wds14122+4411a.png
,141226.68+284302.3,14124+2843,STT 277AB,9158,124346,69399,8.73,8.61,337.2,y,.,0.548,a,.,65.6,.,70.4,.,2012.29,y,.,0.858,.,88.1,.,2000,1997,4,,Ole2002d,wds14124+2843a.png
,141301.02+551931.5,14131+5520,STF1820,9167,124640,69442,9.06,9.42,1013,y,240,3.56,a,0.55,58.2,3.7,336,3.7,2224,y,290,0.27,0.1,233.9,33.2,,1997,4,n,Kiy1998,wds14131+5520a.png
,141326.94+123426.2,14135+1234,BU  224,9165,124442,69480,8.94,9.35,251.57,y,.,0.6,a,.,121.2,.,84.8,.,1967.62,y,.,0.651,.,192,.,,1984,4,n,Lin1985c,wds14135+1234a.png
,141328.95+514724.0,14135+5147,STF1821AB,9173,124675,69483,4.54,6.62,6101,y,3973,11.3,a,3.1,98.5,4.5,52,4.6,5962,y,2030,0.4,0.4,3.9,78,,2003,5,n,Kiy2006,wds14135+5147k.png
,141328.95+514724.0,14135+5147,STF1821AB,9173,124675,69483,4.54,6.62,6675,y,5241,11.4,a,5.5,99.5,4.7,53.2,4.7,6870,y,1943,0.5,0.4,25.1,67,,2003,5,n,Kiy2006,wds14135+5147l.png
,141327.75+514716.4,14135+5147,"STF1821Ba,Bb",9173,124674,69481,6.62,,4.90412,y,.,18.4,m,8.7,85,19.7,55.9,23.5,1996.245,y,.,0.53,.,34.6,37.4,,2003,9,n,Kiy2006,wds14135+5147o.png
,141327.75+514716.4,14135+5147,"STF1821Ba,Bb",9173,124674,69481,6.62,,4.90412,y,.,19.3,m,10,82.6,20.4,54.2,24.4,1996.245,y,.,0.6,.,40.3,36.3,,2003,9,n,Kiy2006,wds14135+5147p.png
,141327.75+514716.4,14135+5147,"STF1821Ba,Bb",9173,124674,69481,6.62,,4.90412,y,.,21.5,m,12,78.7,20.1,49.9,29.6,1996.245,y,.,0.7,.,50.4,33.4,,2003,9,n,Kiy2006,wds14135+5147m.png
,141327.75+514716.4,14135+5147,"STF1821Ba,Bb",9173,134674,69481,6.62,,4.90412,y,.,19.3,m,10,83,20,54,24,1996.245,y,.,0.6,0.1,70,39,,2003,9,n,Kiy2006,wds14135+5147n.png
,141348.83+305927.4,14138+3059,COU 606,,,69514,10.73,11.32,25.91,y,0.3,0.183,a,0.001,147.5,1.5,48.3,3,2010.57,y,0.2,0.347,0.015,175.8,4,2000,2005,2,n,Doc2008a,wds14138+3059k.png
,141409.09-083106.5,14142-0831,BU  939AB,9170,124497,69541,9.38,8.98,602.296,y,.,0.8016,a,.,116.1,.,172.76,.,2398.22,y,.,0.1379,.,332.39,.,2000,1990,5,n,Pop1996b,wds14142-0831a.png
,141519.51+030752.4,14153+0308,STF1819,9182,124757,69653,7.73,7.92,220,y,.,1.117,a,.,146,.,8.3,.,2010,y,.,0.21,.,191,.,2000,1983,3,n,Hou1987,wds14153+0308c.png
,141550.50+101801.3,14158+1018,A  1101AB,9185,124864,69684,9.69,10.32,35.52,y,.,0.21,a,.,136.2,.,177.7,.,1966.18,y,.,0.82,.,126.4,.,,1979,3,n,Baz1984a,wds14158+1018b.png
,141550.50+101801.3,14158+1018,A  1101AB,9185,124864,69684,9.69,10.32,71.78,y,.,0.323,a,.,111.3,.,39,.,1925.75,y,.,0,.,235,.,,1979,3,n,Baz1984a,wds14158+1018d.png
,141600.41-070342.7,14160-0704,HU  138,9186,124851,69700,9.79,9.8,151.4,y,.,0.464,a,.,46.4,.,74,.,1938,y,.,0.597,.,126.6,.,,1990,4,n,Doc1990d,wds14160-0704b.png
,141600.86-060001.9,14160-0600,iot Vir,,124850,69701,4.1,> 8.,55,y,.,0.87,a,.,60,.,3,.,1950.7,y,.,0.1,.,336,.,,,9,,Gon2003,wds14160-0600a.png
,141628.72+333328.8,14165+3334,HU 1266,9195,,69742,10.3,10.5,37,y,.,0.356,a,.,79,.,168.5,.,1936,y,.,0.85,.,91,.,,1955,4,n,Cou1958d,wds14165+3334a.png
,141628.72+333328.8,14165+3334,HU 1266,9195,,69742,10.3,10.5,38.9,y,.,0.16,a,.,24.8,.,115,.,1951.5,y,.,0.62,.,217.8,.,,1955,4,n,Baz1958,wds14165+3334b.png
,141752.84+691403.3,14179+6914,A  1102,9220,125725,69870,9.33,8.65,393.07,y,.,0.458,a,.,138.6,.,252.4,.,1931.22,y,.,0.531,.,29.3,.,2000,1994,4,n,Sey1999a,wds14179+6914a.png
,141759.82+353034.1,14180+3531,A Boo,.,125351,69879,4.81,.,212.1,d,.,4.65,m,0.24,89.8,9.1,347,8.6,40286,d,.,0.57,.,224.9,.,,1992,9,n,Jnc2005,wds14180+3531u.png
,141855.93+545149.6,14189+5452,CHR 137,,125632,69958,6.5,.,13.39,y,0.77,0.09,a,0.01,112.1,3.3,35.6,2,1992.4,y,0.7,0.704,0.122,216.4,5.7,2000,1997,4,,Ole2004b,wds14189+5452b.png
,141906.60-132216.2,14191-1322,lam Vir,,125337,69974,5,5.63,206.7321,d,0.004,19.759,m,0.079,109.86,0.24,196.4,0.22,453070.3,d,0.32,0.061,0.0036,272.28,0.46,,2005,8,n,Zha2007,wds14191-1322a.png
,142017.61+483025.4,14203+4830,STF1834,9229,125796,70066,8.09,8.29,375.97,y,.,0.972,a,.,76.4,.,287.3,.,1902.78,y,.,0.886,.,355.5,.,,1999,3,n,Sey2000b,wds14203+4830a.png
,142322.59+082641.7,14234+0827,BU 1111BC,9247,126128,70327,7.4,7.7,40,y,.,0.24,a,.,42,.,46,.,1998,y,.,0.25,.,141,.,2000,,1,n,Sod1999,wds14234+0827a.png
,142417.03-383745.4,14243-3838,RST1785,,126061,70410,10.35,10.62,82.8,y,.,0.222,a,.,46.5,.,65,.,1987.9,y,.,0.29,.,73.7,.,2000,1984,4,n,Hei1986a,wds14243-3838a.png
,142602.35+421305.1,14260+4213,COU1757,,126719,70564,9.6,9.97,49.5,y,.,0.24,a,.,59.3,.,128,.,2014.8,y,.,0.55,.,251.2,.,,,5,n,Cou1999b,wds14260+4213a.png
,142610.80-452245.3,14262-4523,I   402,,126354,70576,4.93,5.55,26.2,y,.,0.125,a,.,56,.,175.7,.,1969.1,y,.,0.94,.,191,.,2000,1985,3,n,Hei1986b,wds14262-4523a.png
,142643.88+162451.3,14267+1625,A  2069,9264,126695,70619,8.78,9.36,42.28,y,.,0.2,a,.,126.2,.,54.4,.,1977.48,y,.,0.403,.,27.3,.,,1999,2,n,Sca2001g,wds14267+1625c.png
,142741.84-411249.4,14277-4113,I  1243AB,,126622,70707,9.6,9.7,310,y,.,0.38,a,.,132.1,.,97.2,.,2015,y,.,0.325,.,198.4,.,2000,1990,5,,Sey2002,wds14277-4113a.png
,142922.57+804836.6,14294+8049,GC 19630,,128642,70857,6.9,.,179.732,d,0.7628,13.07,m,0.78,54.78,5.16,80.38,6.32,48361.8594,d,35.0373,0.1478,0.1154,158.59,69.51,,1991,9,n,HIP1997d,wds14294+8049p.png
,142932.75+361226.0,14295+3612,HU 1268,9285,127303,70869,9.77,9.9,172.93,y,18.1,0.251,a,0.024,145.4,11,148.9,11.6,1975.69,y,2.85,0.599,0.045,28.4,14.3,2000,2004,4,n,Hrt2008,wds14295+3612k.png
,143100.74-054808.3,14310-0548,RST4529,,127352,70973,8.81,8.39,22.98,y,0.3,0.243,a,0.002,49.1,2,13.8,2,1993.62,y,0.02,0.499,0.01,121,2.5,2000,1997,2,n,Doc2000b,wds14310-0548c.png
,143220.27+264038.4,14323+2641,A   570,9301,127726,71094,6.61,7.08,29.93,y,.,0.2,a,.,158,.,23.3,.,1983.85,y,.,0.16,.,57,.,2000,1989,1,n,Hei1991,wds14323+2641a.png
,143257.70+033933.8,14330+0340,SAO 120520,,127743,71141,7.4,.,1134.4357,d,86.4727,11.18,m,1.33,100.47,9.94,344.73,13.44,47983.625,d,31.2177,0,.,0,.,,1991,9,n,HIP1997d,wds14330+0340p.png
,143656.19+481317.5,14369+4813,A   347,9324,128718,71467,8.68,8.37,212.35,y,15,0.494,a,0.01,145.1,3,83.4,3,1910.9,y,5,0.197,0.01,31.2,15,2000,2001,3,n,Doc2004a,wds14369+4813d.png
,143700.30-121822.4,14370-1218,GC 19695,,128429,71469,6.2,.,1086.2062,d,77.001,21.28,m,2.88,127.58,7.77,88.73,7.5,48096.6484,d,19.5184,0,.,0,.,,1991,9,n,HIP1997d,wds14370-1218p.png
,143720.15-460800.3,14373-4608,FIN 318Aa,,128266,71500,6.22,6.5,90.17,y,.,0.195,a,.,113.5,.,0.6,.,1975.81,y,.,0.703,.,85.3,.,2000,1993,3,,Ole2003a,wds14373-4608b.png
,143720.15-460800.3,14373-4608,FIN 318Aa,,128266,71500,6.22,6.5,242.48,y,5.97,0.206,a,0.003,125.2,0.6,113.7,0.9,2072.84,y,3.88,0.166,0.007,256.8,4.3,2000,1993,4,,Ole2004b,wds14373-4608a.png
,143728.49+021638.7,14375+0217,CHR  42Aa,9323,128563,71510,6.45,.,21.5,y,1.4,0.136,a,0.01,50.4,6,134.6,5.2,1994.52,y,0.23,0.839,0.019,37.5,7.7,2000,1997,3,,Hrt2000a,wds14375+0217a.png
,143900.21+641729.9,14390+6417,KON   1,,129333,71631,7.61,10,45,y,5,0.412,a,0.015,95,3,172,1,46960,d,30,0.82,0.03,180,10,,2002,5,n,Kon2005,wds14390+6417a.png
,143940.90-605006.5,14396-6050,RHD   1AB,,128620,71683,0.14,1.24,79.91,y,0.011,17.57,a,0.022,79.205,0.041,204.85,0.084,1875.66,y,0.012,0.5179,0.00076,231.65,0.076,,,2,n,Pbx2002,wds14396-6050d.png
,144021.88+215832.8,14404+2159,MCA  40,,129132,71729,6.05,7.1,9.261,y,.,0.073,a,.,106.4,.,78,.,1984.852,y,.,0.04,.,241.9,.,,1988,2,n,Baz1989b,wds14404+2159b.png
,144106.74-223706.7,14411-2237,RST2917,,129065,71792,7.58,9.02,140,y,.,0.317,a,.,135.4,.,123.5,.,2045,y,.,0.65,.,103.2,.,2000,1997,4,,Sey2002,wds14411-2237a.png
,152240.89-444122.5,15227-4441,COP   2AB,,136504,75264,3.56,5.04,319.71,y,.,0.756,a,.,119.8,.,117.6,.,2014.28,y,.,0.635,.,21.3,.,2000,2000,5,n,Zir2007,wds15227-4441k.png
,144233.81+192848.6,14426+1929,HU  575AB,9352,,71914,9.77,10.05,51.7,y,.,0.64,a,.,120,.,178,.,1982,y,.,0.09,.,204,.,2000,,2,n,Sod1999,wds14426+1929a.png
,144247.60+063526.4,14428+0635,A  1109AB,9353,129517,,7.44,9.44,1407.62,y,.,2.823,a,.,52.5,.,221.34,.,3298,y,.,0.8475,.,98.6,.,2000,2005,5,,WSI2006b,wds14428+0635k.png
,144529.74+422256.4,14455+4223,STT 285AB,9378,130188,72153,7.75,8.66,88.4,y,.,0.325,a,.,172.9,.,72.5,.,1971.52,y,.,0.53,.,171.6,.,1950,1972,2,n,Cou1973b,wds14455+4223a.png
,144553.04+234338.2,14459+2344,COU 100,,,,8.8,9.2,73.12,y,.,0.297,a,.,106.4,.,196.1,.,2016.11,y,.,0.754,.,79.6,.,2000,1997,4,,Msn2001c,wds14459+2344c.png
